bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
25233,20021023062032,2.0.1,VERIFIED,NO,NO,20021023163042,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/CompletionParserTest.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java
25250,20021023104427,2.0.1,VERIFIED,NO,NO,20021118102647,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/eval/NegativeCodeSnippetTest.java org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/messages.properties org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/eval/org/eclipse/jdt/internal/eval/CodeSnippetQualifiedNameReference.java
25358,20021024173633,2.0.1,CLOSED,YES,NO,20021104125645,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaProjectTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/JavaModelManager.java
25377,20021025085655,2.0.1,VERIFIED,NO,NO,20021025133630,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/Parser.java
25539,20021030093151,2.0.1,RESOLVED,NO,NO,20021031162303,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/search/org/eclipse/jdt/core/search/SearchEngine.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchLocator.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchingOpenable.java
25578,20021031074839,2.0.1,VERIFIED,NO,YES,20021031150114,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/RelevanceConstants.java
25591,20021031102403,2.0.1,VERIFIED,NO,NO,20021031170022,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java
25605,20021031163541,2.0.1,VERIFIED,NO,NO,20021104150443,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaProjectTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/IJavaProject.java
25684,20021104065712,2.0.1,RESOLVED,NO,NO,20021118111909,org.eclipse.jdt.core/buildnotes_jdt-core.html
25687,20021104094219,2.0.1,VERIFIED,NO,NO,20021104152342,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/ResolveTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SelectionRequestor.java
25815,20021107080358,2.0.2,VERIFIED,NO,NO,20021107153705,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java
