bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
348969,20110609172800,R.3.5.1,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
349473,20110615120500,R.3.5.1,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
349510,20110615191000,R.3.5.1,RESOLVED,NO,NO,20120111152635,org.eclipse.mylyn org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.tasks
349598,20110616132000,R.3.5.1,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
349619,20110616154500,R.3.5.1,RESOLVED,NO,NO,20110829022526,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
349620,20110616154800,R.3.5.1,RESOLVED,NO,NO,20120210043310 20120217205522 20120218223634,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
349621,20110616154900,R.3.5.1,RESOLVED,NO,NO,20110824192216,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
349633,20110616182000,R.3.5.1,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
349644,20110617014900,R.3.5.1,RESOLVED,NO,NO,20111223185037,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
349771,20110619122200,R.3.5.1,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
349828,20110620105400,R.3.5.1,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
