bugID,opened_date,status,inheritance,overriding
375224,20120323191200,RESOLVED,NO,NO
375360,20120326160200,RESOLVED,NO,NO
375363,20120326165700,RESOLVED,NO,NO
375372,20120326210800,RESOLVED,NO,NO
375454,20120327140300,RESOLVED,NO,NO
375639,20120329110600,CLOSED,NO,NO
375795,20120401130900,CLOSED,NO,NO
375855,20120402121800,RESOLVED,NO,NO
375908,20120403014600,VERIFIED,NO,NO
376191,20120405111900,RESOLVED,NO,NO
376192,20120405112100,RESOLVED,NO,NO
376271,20120406211300,RESOLVED,NO,NO
376298,20120408114400,CLOSED,NO,NO
376308,20120409014900,RESOLVED,NO,NO
376312,20120409055400,CLOSED,NO,NO
376352,20120409152500,RESOLVED,NO,NO
376370,20120409211300,RESOLVED,NO,NO
376468,20120411051500,CLOSED,NO,NO
376668,20120412181400,RESOLVED,NO,NO
376678,20120412234300,RESOLVED,NO,NO
376680,20120413002600,RESOLVED,NO,NO
376682,20120413005500,RESOLVED,NO,NO
376916,20120416162900,RESOLVED,NO,NO
376922,20120416201100,CLOSED,NO,NO
376939,20120417033500,RESOLVED,NO,NO
377081,20120418082300,RESOLVED,NO,NO
377705,20120425172900,CLOSED,NO,NO
377839,20120426200000,RESOLVED,NO,NO
378003,20120428110200,RESOLVED,NO,NO
378026,20120429040500,CLOSED,NO,NO
378031,20120429100000,RESOLVED,NO,NO
378070,20120430081600,RESOLVED,NO,NO
378101,20120430135400,RESOLVED,NO,NO
378214,20120502042600,CLOSED,NO,NO
378230,20120502073200,RESOLVED,NO,NO
378399,20120503141600,RESOLVED,NO,NO
378416,20120503170000,CLOSED,NO,NO
378473,20120504071000,CLOSED,NO,NO
378474,20120504071300,RESOLVED,NO,NO
378709,20120507132100,RESOLVED,NO,NO
378800,20120508045200,CLOSED,NO,NO
378855,20120508110200,RESOLVED,NO,NO
378947,20120509054100,RESOLVED,NO,NO
378970,20120509081300,RESOLVED,NO,NO
379052,20120509164900,CLOSED,NO,NO
379334,20120512140300,CLOSED,NO,NO
379496,20120515031900,RESOLVED,NO,NO
379582,20120515124400,RESOLVED,NO,NO
379619,20120515214700,RESOLVED,NO,NO
379783,20120517021800,RESOLVED,NO,NO
379844,20120517154900,CLOSED,NO,NO
380016,20120518160800,CLOSED,NO,NO
380052,20120519114900,RESOLVED,NO,NO
380104,20120521025000,CLOSED,NO,NO
380324,20120522154600,RESOLVED,NO,NO
380389,20120523085900,RESOLVED,NO,NO
380390,20120523090200,NEW,NO,NO
380401,20120523093900,RESOLVED,NO,NO
380584,20120524161300,VERIFIED,NO,NO
380588,20120524162800,RESOLVED,NO,NO
380729,20120525162600,RESOLVED,NO,NO
380773,20120527120600,RESOLVED,NO,NO
380843,20120528170200,RESOLVED,NO,NO
380876,20120529063700,RESOLVED,NO,NO
381036,20120530085700,RESOLVED,NO,NO
381265,20120531155800,RESOLVED,NO,NO
381359,20120601082000,RESOLVED,NO,NO
381506,20120603171300,RESOLVED,NO,NO
381543,20120604054400,RESOLVED,NO,NO
381550,20120604065500,RESOLVED,NO,NO
381561,20120604075000,RESOLVED,NO,NO
381564,20120604082100,RESOLVED,NO,NO
381569,20120604094300,CLOSED,NO,NO
381625,20120604150400,CLOSED,NO,NO
381629,20120604153300,CLOSED,NO,NO
381902,20120606142500,RESOLVED,NO,NO
381912,20120606155800,RESOLVED,NO,NO
382115,20120608111500,RESOLVED,NO,NO
382164,20120609063300,RESOLVED,NO,NO
382173,20120609133800,RESOLVED,NO,NO
382194,20120610161400,RESOLVED,NO,NO
382415,20120612142000,RESOLVED,NO,NO
382767,20120615145300,RESOLVED,NO,NO
382788,20120616082700,RESOLVED,NO,NO
382796,20120617022000,RESOLVED,NO,NO
382908,20120618175100,RESOLVED,NO,NO
382909,20120618175400,RESOLVED,NO,NO
382911,20120618180900,RESOLVED,NO,NO
382952,20120619074900,RESOLVED,NO,NO
383012,20120619132400,VERIFIED,NO,NO
383013,20120619132800,NEW,NO,NO
383026,20120619171800,VERIFIED,NO,NO
383148,20120620151600,RESOLVED,NO,NO
383287,20120622034600,RESOLVED,NO,NO
383316,20120622100700,RESOLVED,NO,NO
383317,20120622100700,RESOLVED,NO,NO
383359,20120622185400,RESOLVED,NO,NO
383400,20120625035000,RESOLVED,NO,NO
383592,20120626184200,RESOLVED,NO,NO
383766,20120628063900,RESOLVED,NO,NO
383907,20120629094900,RESOLVED,NO,NO
383911,20120629103600,RESOLVED,NO,NO
383987,20120701101200,VERIFIED,NO,NO
384043,20120702093800,RESOLVED,NO,NO
384069,20120702130000,RESOLVED,NO,NO
384251,20120704064700,RESOLVED,NO,NO
384255,20120704072000,RESOLVED,NO,NO
384269,20120704092200,RESOLVED,NO,NO
384365,20120705095500,RESOLVED,NO,NO
384633,20120709131500,RESOLVED,NO,NO
384685,20120710023500,RESOLVED,NO,NO
385068,20120713113800,RESOLVED,NO,NO
385127,20120715170700,RESOLVED,NO,NO
385235,20120716160000,RESOLVED,NO,NO
385332,20120717132500,RESOLVED,NO,NO
385594,20120720091700,RESOLVED,NO,NO
385632,20120720133600,RESOLVED,NO,NO
385713,20120723070400,RESOLVED,NO,NO
385727,20120723092100,RESOLVED,NO,NO
385796,20120723175000,RESOLVED,NO,NO
385908,20120725024400,RESOLVED,NO,NO
386117,20120727074200,RESOLVED,NO,NO
386143,20120727111900,RESOLVED,NO,NO
386204,20120729140800,RESOLVED,NO,NO
386227,20120730062700,RESOLVED,NO,NO
386344,20120731125800,RESOLVED,NO,NO
386533,20120803022200,RESOLVED,NO,NO
386535,20120803022800,RESOLVED,NO,NO
386548,20120803050200,RESOLVED,NO,NO
386705,20120806155200,RESOLVED,NO,NO
386764,20120807124400,RESOLVED,NO,NO
